alg	nthreads	theta	runtime	throughput
bronson_pext_bst_occ	24	0.01	105.586444	538531.1782
brown_ext_abtree_lf	24	0.01	63.002348	902998.349
brown_ext_ist_lf	24	0.01	53.99797	1054257.409
bronson_pext_bst_occ	48	0.01	328.183219	692486.1564
brown_ext_abtree_lf	48	0.01	219.903546	1031114.177
brown_ext_ist_lf	48	0.01	185.027511	1219835.898
bronson_pext_bst_occ	96	0.01	745.869278	1203590.08
brown_ext_abtree_lf	96	0.01	498.044405	1805935.933
brown_ext_ist_lf	96	0.01	445.682728	2025876.235
bronson_pext_bst_occ	192	0.01	1424.544887	2516987.043
brown_ext_abtree_lf	192	0.01	935.52965	3804154.912
brown_ext_ist_lf	192	0.01	868.355706	4089757.75
bronson_pext_bst_occ	24	0.1	105.35055	539566.6206
brown_ext_abtree_lf	24	0.1	62.852763	905062.2646
brown_ext_ist_lf	24	0.1	52.985442	1074238.01
bronson_pext_bst_occ	48	0.1	328.312108	691190.4446
brown_ext_abtree_lf	48	0.1	217.553397	1041535.197
brown_ext_ist_lf	48	0.1	184.740758	1215420.802
bronson_pext_bst_occ	96	0.1	730.909325	1232052.405
brown_ext_abtree_lf	96	0.1	512.551964	1757118.23
brown_ext_ist_lf	96	0.1	455.957265	1982818.035
bronson_pext_bst_occ	192	0.1	1426.176041	2516486.735
brown_ext_abtree_lf	192	0.1	906.568706	3905219.327
brown_ext_ist_lf	192	0.1	835.951791	3965679.787
bronson_pext_bst_occ	24	0.5	103.324549	550102.611
brown_ext_abtree_lf	24	0.5	61.99769	917445.4044
brown_ext_ist_lf	24	0.5	53.239515	1069174.125
bronson_pext_bst_occ	48	0.5	324.53629	700137.4174
brown_ext_abtree_lf	48	0.5	215.303812	1056092.104
brown_ext_ist_lf	48	0.5	187.880949	1206461.692
bronson_pext_bst_occ	96	0.5	727.944173	1242154.465
brown_ext_abtree_lf	96	0.5	500.141567	1803514.644
brown_ext_ist_lf	96	0.5	442.561046	2020576.137
bronson_pext_bst_occ	192	0.5	1399.388928	2564722.924
brown_ext_abtree_lf	192	0.5	851.603709	4159187.746
brown_ext_ist_lf	192	0.5	819.28503	4400750.403
bronson_pext_bst_occ	24	0.9	106.037669	533925.0522
brown_ext_abtree_lf	24	0.9	69.79589	808002.0707
brown_ext_ist_lf	24	0.9	62.134723	912984.0068
bronson_pext_bst_occ	48	0.9	1660.634231	123893.1176
brown_ext_abtree_lf	48	0.9	1887.703346	109604.5522
brown_ext_ist_lf	48	0.9	1674.42066	124869.1234
bronson_pext_bst_occ	96	0.9	99168.26059	6765.083869
brown_ext_abtree_lf	96	0.9	121719.1219	4988.219488
brown_ext_ist_lf	96	0.9	149950.4506	4550.347912
