filename,DS_TYPENAME,size_node,RECLAIM,ALLOC,POOL,MILLIS_TO_RUN,INS,DEL,RQ,RQSIZE,MAXKEY,PREFILL_THREADS,TOTAL_THREADS,WORK_THREADS,RQ_THREADS,INSERT_FUNC,threads_final_keysum,threads_final_size,final_keysum,final_size,validate_result,tree_stats_height,tree_stats_numInternals,tree_stats_numLeaves,tree_stats_numNodes,tree_stats_numKeys,tree_stats_avgDegreeInternal,tree_stats_avgDegreeLeaves,tree_stats_avgKeyDepth,tree_stats_sizeInBytes,sum_num_try_rebuild_at_depth_by_index,sum_num_complete_rebuild_at_depth_by_index,sum_num_help_subtree_total,first_thread_announced_epoch_by_index,sum_duration_all_ops_total,sum_duration_markAndCount_total,sum_duration_wastedWorkBuilding_total,sum_duration_buildAndReplace_total,sum_duration_rotateAndFree_total,sum_duration_traverseAndRetire_total,total_find,total_rq,total_updates,total_queries,total_ops,find_throughput,rq_throughput,update_throughput,query_throughput,total_throughput,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_RES_STL,maxresident_mb,prefill_elapsed_ms
istree_exp8_full_comparison/step10001.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,24,24,24,0,insertIfAbsent,99980219147132,9999101,99980219147132,9999101,success,63,9999102,9999103,19998205,9999101,2,1,33.4069,799928200,,,,4996 115900,,,,,,,292554254,0,2956875,292554254,295511129,9751808,0,98562,9751808,9850370,35.176,12.3638,6796.85,,2022,1978
istree_exp8_full_comparison/step10002.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,48,48,48,0,insertIfAbsent,100003174318498,9998730,100003174318498,9998730,success,59,9998731,9998732,19997463,9998730,2,1,33.3246,799898520,,,,1244 52716,,,,,,,553315717,0,5589089,553315717,558904806,18443857,0,186302,18443857,18630160,36.7291,13.0758,7185.24,,2042,1528
istree_exp8_full_comparison/step10003.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,96,96,96,0,insertIfAbsent,99994041774550,9999102,99994041774550,9999102,success,62,9999103,9999104,19998207,9999102,2,1,33.3367,799928280,,,,440 28242,,,,,,,1226744798,0,12389126,1226744798,1239133924,40891493,0,412970,40891493,41304464,38.3392,15.3288,6468.86,,2085,1247
istree_exp8_full_comparison/step10004.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,144,144,144,0,insertIfAbsent,99995385549048,9998448,99995385549048,9998448,success,60,9998449,9998450,19996899,9998448,2,1,32.6898,799875960,,,,352 18910,,,,,,,1853292340,0,18714985,1853292340,1872007325,61776411,0,623832,61776411,62400244,38.7356,15.7771,6420.89,,2109,892
istree_exp8_full_comparison/step10005.txt,ellen_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,190,190,190,0,insertIfAbsent,100014157721068,10000550,100014157721068,10000550,success,65,10000551,10000552,20001103,10000550,2,1,33.0395,800044120,,,,306 14632,,,,,,,2450277379,0,24751140,2450277379,2475028519,81675912,0,825038,81675912,82500950,39.0182,16.1483,6405.93,,2145,1015
istree_exp8_full_comparison/step10006.txt,guerraoui_ext_bst_ticket,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,24,24,24,0,insertIfAbsent,99979808019076,10000421,99979808019076,10000421,success,60,10000421,10000422,20000843,10000421,2,1,30.9243,800033720,,,,4864 116988,,,,,,,295598195,0,2990736,295598195,298588931,9853273,0,99691,9853273,9952964,36.8165,13.4002,6726.71,,2021,1756
istree_exp8_full_comparison/step10007.txt,guerraoui_ext_bst_ticket,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,48,48,48,0,insertIfAbsent,99999950291963,10001357,99999950291963,10001357,success,60,10001357,10001358,20002715,10001357,2,1,30.9954,800108600,,,,882 52712,,,,,,,557249077,0,5631653,557249077,562880730,18574969,0,187721,18574969,18762691,37.8919,13.9034,7134.9,,2027,1352
istree_exp8_full_comparison/step10008.txt,guerraoui_ext_bst_ticket,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,96,96,96,0,insertIfAbsent,99988015998376,9998724,99988015998376,9998724,success,60,9998724,9998725,19997449,9998724,2,1,31.3863,799897960,,,,288 29080,,,,,,,1255229908,0,12676464,1255229908,1267906372,41840996,0,422548,41840996,42263545,38.7632,15.878,6322.34,,2045,860
istree_exp8_full_comparison/step10009.txt,guerraoui_ext_bst_ticket,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,144,144,144,0,insertIfAbsent,99981025677302,9996831,99981025677302,9996831,success,64,9996831,9996832,19993663,9996831,2,1,31.285,799746520,,,,220 19214,,,,,,,1895927679,0,19156337,1895927679,1915084016,63197589,0,638544,63197589,63836133,39.3028,16.1096,6277.46,,2062,498
istree_exp8_full_comparison/step10010.txt,guerraoui_ext_bst_ticket,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,20000000,190,190,190,0,insertIfAbsent,100003446343990,9998419,100003446343990,9998419,success,61,9998419,9998420,19996839,9998419,2,1,32.0564,799873560,,,,150 14844,,,,,,,2493871871,0,25192558,2493871871,2519064429,83129062,0,839751,83129062,83968814,39.4262,16.2417,6293.09,,2078,502
