filename,DS_TYPENAME,size_node,RECLAIM,ALLOC,POOL,MILLIS_TO_RUN,INS,DEL,RQ,RQSIZE,MAXKEY,PREFILL_THREADS,TOTAL_THREADS,WORK_THREADS,RQ_THREADS,INSERT_FUNC,threads_final_keysum,threads_final_size,final_keysum,final_size,validate_result,tree_stats_height,tree_stats_numInternals,tree_stats_numLeaves,tree_stats_numNodes,tree_stats_numKeys,tree_stats_avgDegreeInternal,tree_stats_avgDegreeLeaves,tree_stats_avgKeyDepth,tree_stats_sizeInBytes,sum_num_try_rebuild_at_depth_by_index,sum_num_complete_rebuild_at_depth_by_index,sum_num_help_subtree_total,first_thread_announced_epoch_by_index,sum_duration_all_ops_total,sum_duration_markAndCount_total,sum_duration_wastedWorkBuilding_total,sum_duration_buildAndReplace_total,sum_duration_rotateAndFree_total,sum_duration_traverseAndRetire_total,total_find,total_rq,total_updates,total_queries,total_ops,find_throughput,rq_throughput,update_throughput,query_throughput,total_throughput,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_RES_STL,maxresident_mb,prefill_elapsed_ms
istree_exp9_zipf/step10001.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,24,24,24,0,insertIfAbsent,1000072427298133,10000000,1000072427298133,10000000,success,6,1625784,11442328,13068112,10000000,8.03804,0.873948,4,313139952,,,,127992,,,,,,,348239620,0,0,348239620,348239620,11607987,0,0,11607987,11607987,85.3535,45.1461,5760.71,,5917,1439
istree_exp9_zipf/step10002.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,48,48,48,0,insertIfAbsent,1000106748298941,10000000,1000106748298941,10000000,success,6,1625784,11442328,13068112,10000000,8.03804,0.873948,4,313139952,,,,54744,,,,,,,607697853,0,0,607697853,607697853,20256595,0,0,20256595,20256595,74.0837,38.2095,6561.24,,5925,1262
istree_exp9_zipf/step10003.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,96,96,96,0,insertIfAbsent,999878713333255,10000000,999878713333255,10000000,success,6,1625784,11442328,13068112,10000000,8.03804,0.873948,4,313139952,,,,25188,,,,,,,1127782411,0,0,1127782411,1127782411,37592747,0,0,37592747,37592747,78.5111,44.7867,7073.53,,5940,1105
istree_exp9_zipf/step10004.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,144,144,144,0,insertIfAbsent,1000325329848817,10000000,1000325329848817,10000000,success,6,1625784,11442328,13068112,10000000,8.03804,0.873948,4,313139952,,,,15144,,,,,,,1519590017,0,0,1519590017,1519590017,50653000,0,0,50653000,50653000,79.6381,45.9232,7835.78,,5958,1082
istree_exp9_zipf/step10005.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,190,190,190,0,insertIfAbsent,1000089117770840,10000000,1000089117770840,10000000,success,6,1625784,11442328,13068112,10000000,8.03804,0.873948,4,313139952,,,,11644,,,,,,,1840087698,0,0,1840087698,1840087698,61336256,0,0,61336256,61336256,80.2559,46.5399,8545.14,,5976,1223
istree_exp9_zipf/step10006.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,24,24,24,0,insertIfAbsent,1000321183241481,10000000,1000321183241481,10000000,success,9,185114,1275903,1461017,10000000,7.89253,7.83759,8,303891536,,,,3736 121076,,,,,,,317209308,0,0,317209308,317209308,10573643,0,0,10573643,10573643,89.2697,45.3911,6329.61,,2996,1624
istree_exp9_zipf/step10007.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,48,48,48,0,insertIfAbsent,1000140719940846,10000000,1000140719940846,10000000,success,9,185370,1276129,1461499,10000000,7.88423,7.8362,8,303991792,,,,980 51874,,,,,,,560033591,0,0,560033591,560033591,18667786,0,0,18667786,18667786,80.114,38.6632,7145.99,,3040,1278
istree_exp9_zipf/step10008.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,96,96,96,0,insertIfAbsent,1000104241175391,10000000,1000104241175391,10000000,success,9,185381,1276256,1461637,10000000,7.8845,7.83542,8,304020496,,,,346 24678,,,,,,,1079931734,0,0,1079931734,1079931734,35997724,0,0,35997724,35997724,83.6991,46.2851,7388.14,,3112,1140
istree_exp9_zipf/step10009.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,144,144,144,0,insertIfAbsent,999833487103664,10000000,999833487103664,10000000,success,9,185355,1275805,1461160,10000000,7.88304,7.83819,8,303921280,,,,308 15504,,,,,,,1531186602,0,0,1531186602,1531186602,51039553,0,0,51039553,51039553,84.4941,47.5101,7690.99,,3157,927
istree_exp9_zipf/step10010.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,190,190,190,0,insertIfAbsent,1000144451819381,10000000,1000144451819381,10000000,success,9,185516,1275939,1461455,10000000,7.87778,7.83737,8,303982640,,,,262 11696,,,,,,,1838101982,0,0,1838101982,1838101982,61270066,0,0,61270066,61270066,85.7124,48.3036,8514.24,,3198,1004
istree_exp9_zipf/step10011.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,24,24,24,0,insertIfAbsent,999958227009502,10000000,999958227009502,10000000,success,29,5714001,4286000,10000001,10000000,1.75009,2.33318,22.749,560000056,,,,3646 78104,,,,,,,201222142,0,0,201222142,201222142,6707404,0,0,6707404,6707404,104.06,52.9113,9980.78,,3279,2044
istree_exp9_zipf/step10012.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,48,48,48,0,insertIfAbsent,1000198930205973,10000000,1000198930205973,10000000,success,29,5714713,4285288,10000001,10000000,1.74987,2.33357,22.6548,560000056,,,,898 34488,,,,,,,369129910,0,0,369129910,369129910,12304330,0,0,12304330,12304330,97.1955,47.1392,10877.2,,3285,1379
istree_exp9_zipf/step10013.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,96,96,96,0,insertIfAbsent,999930732256592,10000000,999930732256592,10000000,success,29,5714355,4285646,10000001,10000000,1.74998,2.33337,22.6896,560000056,,,,224 17730,,,,,,,776380648,0,0,776380648,776380648,25879354,0,0,25879354,25879354,100.188,54.5938,10283.7,,3300,929
istree_exp9_zipf/step10014.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,144,144,144,0,insertIfAbsent,999772957575788,10000000,999772957575788,10000000,success,29,5714639,4285362,10000001,10000000,1.74989,2.33353,22.7009,560000056,,,,148 11176,,,,,,,1112023132,0,0,1112023132,1112023132,37067437,0,0,37067437,37067437,100.847,56.0515,10756.3,,3315,572
istree_exp9_zipf/step10015.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,190,190,190,0,insertIfAbsent,1000069449276486,10000000,1000069449276486,10000000,success,29,5714122,4285879,10000001,10000000,1.75005,2.33324,22.6767,560000056,,,,124 8456,,,,,,,1392083431,0,0,1392083431,1392083431,46402781,0,0,46402781,46402781,101.344,56.7091,11326.6,,3328,568
istree_exp9_zipf/step10016.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,24,24,24,0,insertIfAbsent,999954557455281,10000000,999954557455281,10000000,success,59,9999999,10000000,19999999,10000000,2,1,30.8915,639999968,,,,3662 72162,,,,,,,184000701,0,0,184000701,184000701,6133356,0,0,6133356,6133356,98.4913,50.2494,10915.7,,3279,2004
istree_exp9_zipf/step10017.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,48,48,48,0,insertIfAbsent,1000032895867278,10000000,1000032895867278,10000000,success,62,9999999,10000000,19999999,10000000,2,1,32.1197,639999968,,,,900 32314,,,,,,,343365235,0,0,343365235,343365235,11445507,0,0,11445507,11445507,89.6901,43.2845,11693.4,,3285,1352
istree_exp9_zipf/step10018.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,96,96,96,0,insertIfAbsent,999939758380824,10000000,999939758380824,10000000,success,61,9999999,10000000,19999999,10000000,2,1,30.9944,639999968,,,,222 17048,,,,,,,743503935,0,0,743503935,743503935,24783464,0,0,24783464,24783464,92.7453,49.902,10777.1,,3299,889
istree_exp9_zipf/step10019.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,144,144,144,0,insertIfAbsent,1000115445403889,10000000,1000115445403889,10000000,success,59,9999999,10000000,19999999,10000000,2,1,31.4176,639999968,,,,160 11008,,,,,,,1097050075,0,0,1097050075,1097050075,36568335,0,0,36568335,36568335,93.1888,51.2213,10945.7,,3314,532
istree_exp9_zipf/step10020.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,200000000,190,190,190,0,insertIfAbsent,1000425319626978,10000000,1000425319626978,10000000,success,62,9999999,10000000,19999999,10000000,2,1,30.7084,639999968,,,,126 8474,,,,,,,1415671288,0,0,1415671288,1415671288,47189042,0,0,47189042,47189042,93.4387,51.7343,11180.4,,3326,530
istree_exp9_zipf/step10021.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,24,24,24,0,insertIfAbsent,1149909533432267,11500085,1149909533432267,11500085,success,7,2222849,13574341,15797190,11500085,7.10673,0.847193,4.10105,395027680,0 0 19327 470983 8926,0 0 19327 470983 8926,,123606,,,,,,,332489935,0,3360398,332489935,335850333,11082997,0,112013,11082997,11195011,87.0219,46.2737,5975.34,,6083,1406
istree_exp9_zipf/step10022.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,48,48,48,0,insertIfAbsent,1264454377365847,12645557,1264454377365847,12645557,success,7,2227672,14682844,16910516,12645557,7.59112,0.861247,4.05312,413139552,1 3093 68274 728591 15371,1 3093 68272 728591 15371,400,53674,,,,,,,590725206,0,5966224,590725206,596691430,19690840,0,198874,19690840,19889714,74.9175,37.6896,6709.52,,6710,1135
istree_exp9_zipf/step10023.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,96,96,96,0,insertIfAbsent,1470385659017151,14705141,1470385659017151,14705141,success,7,2299474,16794758,19094232,14705141,8.30374,0.875579,4.03355,452674704,1 6537 102489 1424907 31854,1 6537 102488 1424907 31854,1352,23996,,,,,,,1062978838,0,10736425,1062978838,1073715263,35432627,0,357880,35432627,35790508,79.8671,45.1511,7417.63,,6789,1234
istree_exp9_zipf/step10024.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,144,144,144,0,insertIfAbsent,1640882147806460,16407528,1640882147806460,16407528,success,7,2955330,19184058,22139388,16407528,7.49134,0.855269,4.09336,543385104,3 6659 76860 1929410 35342,2 6659 76859 1929407 35342,3204,14726,,,,,,,1462508456,0,14777726,1462508456,1477286182,48750281,0,492590,48750281,49242872,80.6669,46.3171,8034.35,,7218,1155
istree_exp9_zipf/step10025.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,190,190,190,0,insertIfAbsent,1769326898035750,17694529,1769326898035750,17694529,success,7,2946780,20410752,23357532,17694529,7.92646,0.866922,4.03882,562315136,2 10480 85724 2342404 45198,2 10480 85724 2342401 45198,3270,11128,,,,,,,1768774585,0,17873566,1768774585,1786648151,58959152,0,595785,58959152,59554938,81.3907,47.1022,8767.51,,7225,1230
istree_exp9_zipf/step10026.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,24,24,24,0,insertIfAbsent,1140324761987058,11403701,1140324761987058,11403701,success,9,212568,1461223,1673791,11403701,7.87414,7.80422,8,348148528,,,,3722 120290,,,,,,,311824859,0,3147351,311824859,314972210,10394161,0,104911,10394161,10499073,89.6131,45.459,6373.9,,3041,1622
